zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
3950483,6349 S Tripp Ave,Chicago,IL,60629,41.777145,-87.72847,415000.0,3.0,5.0,2150.0,SINGLE_FAMILY
101296032,1629 S Prairie Ave UNIT 2509,Chicago,IL,60616,41.85955,-87.62042,475000.0,2.0,2.0,1224.0,CONDO
2054582591,1211 S Prairie Ave #5400,Chicago,IL,60605,41.86669,-87.621124,5999000.0,6.0,5.0,10000.0,CONDO
158852680,1734 W Cullerton St,Chicago,IL,60608,41.85527,-87.66998,1200000.0,6.0,9.0,,MULTI_FAMILY
4009212,7501 S Morgan St,Chicago,IL,60620,41.75754,-87.64872,259000.0,2.0,4.0,1500.0,SINGLE_FAMILY
3878958,2311 S Leavitt St,Chicago,IL,60608,41.849907,-87.68038,319000.0,1.0,3.0,1160.0,SINGLE_FAMILY
4166432,8955 S Essex Ave,Chicago,IL,60617,41.731964,-87.5631,281900.0,3.0,4.0,2460.0,SINGLE_FAMILY
3953711,3305 W 66th St,Chicago,IL,60629,41.773205,-87.70574,385000.0,2.0,4.0,1732.0,SINGLE_FAMILY
70478107,1471 E 69th St #3,Chicago,IL,60637,41.76941,-87.588295,149900.0,2.0,2.0,1300.0,CONDO
3938630,4028 W 58th St,Chicago,IL,60629,41.788002,-87.72425,349700.0,3.0,4.0,1331.0,SINGLE_FAMILY
99345673,611 S Wells St #1101,Chicago,IL,60610,41.874146,-87.63326,255000.0,1.0,1.0,800.0,CONDO
3990124,5542 S Blackstone Ave APT 1,Chicago,IL,60637,41.79388,-87.59069,249000.0,1.0,2.0,1250.0,CONDO
65572071,1525 S Sangamon St UNIT 611,Chicago,IL,60608,41.860832,-87.64981,259000.0,1.0,1.0,900.0,CONDO
306329023,747 S Kenneth Ave,Chicago,IL,60624,41.87107,-87.736084,375000.0,4.0,4.0,2779.0,SINGLE_FAMILY
54541332,1716 E 54th St APT I,Chicago,IL,60615,41.79836,-87.58319,729000.0,3.0,4.0,2046.0,TOWNHOUSE
60271646,3001 S Michigan Ave UNIT 1206,Chicago,IL,60616,41.839725,-87.62297,109900.0,1.0,0.0,460.0,CONDO
439874944,6635 S Minerva Ave,Chicago,IL,60637,41.774017,-87.596924,345000.0,2.0,7.0,,MULTI_FAMILY
433793675,6805 S Prairie Ave,Chicago,IL,60637,41.770847,-87.61826,129000.0,2.0,3.0,,MULTI_FAMILY
3982409,2142 W 54th St,Chicago,IL,60609,41.79597,-87.67849,55000.0,1.0,2.0,1008.0,SINGLE_FAMILY
70450025,833 W 15th Pl UNIT 810,Chicago,IL,60608,41.860725,-87.64786,275000.0,1.0,2.0,0.0,CONDO
3881026,3256 S Morgan St,Chicago,IL,60608,41.834503,-87.65141,425000.0,2.0,2.0,2000.0,SINGLE_FAMILY
61961591,2605 S Indiana Ave UNIT 501,Chicago,IL,60616,41.845493,-87.62197,205000.0,2.0,2.0,1200.0,CONDO
3974166,3800 W 80th Pl,Chicago,IL,60652,41.7471,-87.71714,274900.0,2.0,4.0,1300.0,SINGLE_FAMILY
447167435,2508 W Roosevelt Rd,Chicago,IL,60608,41.86687,-87.689095,590000.0,4.0,4.0,2300.0,TOWNHOUSE
2124638613,6943 S Euclid Ave,Chicago,IL,60649,41.768562,-87.57729,375000.0,3.0,4.0,2420.0,SINGLE_FAMILY
63702819,701 S Wells St APT 1704,Chicago,IL,60607,41.87315,-87.63324,340000.0,2.0,2.0,1250.0,CONDO
62014799,1307 S Wabash Ave APT 505,Chicago,IL,60605,41.86542,-87.6252,215000.0,1.0,1.0,0.0,CONDO
60203755,1133 S Wabash Ave APT 603,Chicago,IL,60605,41.868347,-87.62535,305000.0,2.0,1.0,1050.0,CONDO
3871389,523 S Plymouth Ct APT 1103,Chicago,IL,60605,41.87504,-87.62837,375000.0,1.0,1.0,1050.0,CONDO
3877181,2543 S Wallace St #9,Chicago,IL,60616,41.846046,-87.64133,280000.0,2.0,3.0,1175.0,CONDO
3928851,5217 S Christiana Ave,Chicago,IL,60632,41.79842,-87.707016,389900.0,3.0,5.0,2552.0,SINGLE_FAMILY
89916821,4458 S Greenwood Ave APT 1E,Chicago,IL,60653,41.81341,-87.59974,229900.0,2.0,3.0,1372.0,CONDO
2075491577,4540 S Prairie Ave,Chicago,IL,60653,41.811737,-87.62003,799999.0,3.0,5.0,4500.0,SINGLE_FAMILY
70471655,40 E 9th St APT 1807,Chicago,IL,60605,41.871185,-87.6264,271000.0,1.0,2.0,1125.0,CONDO
121069450,235 W Van Buren St UNIT 3218,Chicago,IL,60607,41.876556,-87.63479,259900.0,1.0,1.0,696.0,CONDO
340359593,6444 S Rhodes Ave,Chicago,IL,60637,41.776894,-87.611946,419000.0,3.0,3.0,1670.0,SINGLE_FAMILY
2136764295,3342 S Giles Ave,Chicago,IL,60616,41.833576,-87.61973,725000.0,4.0,4.0,3000.0,SINGLE_FAMILY
159005250,713 E Bowen Ave,Chicago,IL,60653,41.819187,-87.60864,450000.0,3.0,4.0,2500.0,SINGLE_FAMILY
3984764,1158 E 49th St,Chicago,IL,60615,41.80624,-87.59697,1325000.0,5.0,6.0,4445.0,SINGLE_FAMILY
4006380,7750 S Rhodes Ave,Chicago,IL,60619,41.75335,-87.611694,349000.0,3.0,4.0,2600.0,SINGLE_FAMILY
2062896002,1151 W 14th Pl UNIT 241,Chicago,IL,60608,41.862244,-87.655365,265000.0,1.0,2.0,845.0,CONDO
