zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
362165712,411 W North Ave APT 4W,Chicago,IL,60610,41.91083,-87.63903,665000.0,2.0,3.0,1700.0,CONDO
101519072,4726 N Dover St #1,Chicago,IL,60640,41.967896,-87.66638,1400000.0,4.0,3.0,3300.0,SINGLE_FAMILY
60267947,525 W Superior St APT 124,Chicago,IL,60654,41.895363,-87.641846,574900.0,2.0,2.0,1500.0,CONDO
3667711,3812 N Troy St,Chicago,IL,60618,41.95076,-87.70706,950000.0,4.0,4.0,0.0,SINGLE_FAMILY
63694816,3839 N Western Ave UNIT 301,Chicago,IL,60618,41.95083,-87.68827,304900.0,1.0,2.0,0.0,CONDO
3718679,553 W Aldine Ave #2,Chicago,IL,60657,41.94198,-87.64414,469000.0,2.0,2.0,1450.0,CONDO
3717377,609 W Stratford Pl APT 6A,Chicago,IL,60657,41.944904,-87.64474,500000.0,2.0,3.0,0.0,CONDO
3721536,435 W Surf St APT 2B,Chicago,IL,60657,41.93405,-87.6408,450000.0,2.0,2.0,1500.0,CONDO
2073844070,5205 N Rockwell St #1,Chicago,IL,60625,41.976116,-87.69383,255000.0,1.0,3.0,1500.0,CONDO
58360130,5536 N Glenwood Ave APT 2F,Chicago,IL,60640,41.982807,-87.665344,719900.0,3.0,3.0,0.0,CONDO
2137017420,1225 S Harding Ave,Chicago,IL,60623,41.8654,-87.72358,400000.0,4.0,12.0,,MULTI_FAMILY
87703855,740 S Federal St APT 310,Chicago,IL,60605,41.873783,-87.629906,299000.0,2.0,3.0,1260.0,CONDO
65565525,747 N Sedgwick St APT 4RS,Chicago,IL,60654,41.89613,-87.63835,425000.0,2.0,2.0,1500.0,CONDO
2137607387,2716 N Artesian Ave,Chicago,IL,60647,41.930862,-87.68943,899000.0,4.0,4.0,0.0,SINGLE_FAMILY
2104820747,3920 N Lake Shore Dr APT 4N,Chicago,IL,60613,41.95414,-87.64598,375000.0,4.0,5.0,3000.0,CONDO
87702641,2515 W Augusta Blvd APT 3S,Chicago,IL,60622,41.899082,-87.690094,230000.0,1.0,2.0,1000.0,CONDO
51176415,226 N Clinton St APT 220,Chicago,IL,60661,41.88637,-87.64174,375000.0,2.0,2.0,0.0,CONDO
113960252,1970 N Burling St,Chicago,IL,60614,41.918053,-87.64765,6995000.0,7.0,5.0,7800.0,SINGLE_FAMILY
444194829,1544 N State Pkwy #3A,Chicago,IL,60610,41.910946,-87.62926,550000.0,2.0,3.0,1800.0,CONDO
3855188,1550 N State Pkwy APT A1,Chicago,IL,60610,41.910946,-87.62926,599000.0,3.0,3.0,2305.0,CONDO
158700306,2717 W Adams St,Chicago,IL,60612,41.878098,-87.69455,550000.0,3.0,4.0,4000.0,SINGLE_FAMILY
3742283,164 W Eugenie St,Chicago,IL,60614,41.913086,-87.6343,1350000.0,5.0,4.0,3020.0,SINGLE_FAMILY
306332688,2245 W Irving Park Rd UNIT 2,Chicago,IL,60618,41.953754,-87.68542,595000.0,2.0,3.0,1800.0,CONDO
446869511,5038 W Fulton St,Chicago,IL,60644,41.886055,-87.75199,185000.0,2.0,4.0,,MULTI_FAMILY
2070843715,3353 S Bell Ave,Chicago,IL,60608,41.832394,-87.68121,230000.0,2.0,2.0,1100.0,SINGLE_FAMILY
80856668,418 W 37th Pl,Chicago,IL,60609,41.826572,-87.63706,769000.0,3.0,4.0,3000.0,SINGLE_FAMILY
3743215,205 W Eugenie St UNIT I,Chicago,IL,60614,41.91267,-87.63511,679000.0,3.0,3.0,2350.0,TOWNHOUSE
3723070,330 W Diversey Pkwy APT 2104,Chicago,IL,60657,41.933327,-87.63862,365000.0,2.0,2.0,1150.0,CONDO
2067552830,1143 W Addison St #2,Chicago,IL,60613,41.946877,-87.65872,600000.0,2.0,2.0,0.0,CONDO
3876625,1502 S Prairie Ave UNIT A,Chicago,IL,60605,41.862095,-87.62145,650000.0,3.0,3.0,2100.0,TOWNHOUSE
441023461,4103 W Palmer St,Chicago,IL,60639,41.920532,-87.72936,465000.0,3.0,6.0,,MULTI_FAMILY
3799754,603 N Cuyler Ave,Oak Park,IL,60302,41.89662,-87.78366,425000.0,3.0,4.0,0.0,SINGLE_FAMILY
124870771,1350 W Diversey Pkwy #2,Chicago,IL,60614,41.932747,-87.6632,565000.0,2.0,2.0,1400.0,CONDO
444373209,1853 N Maud Ave #1,Chicago,IL,60614,41.915466,-87.6539,1485000.0,3.0,3.0,0.0,CONDO
80856237,4962 N Milwaukee Ave APT 4A,Chicago,IL,60630,41.97104,-87.76405,340000.0,2.0,2.0,1400.0,CONDO
332931010,2738 N Racine Ave APT 1W,Chicago,IL,60614,41.931904,-87.659035,799900.0,3.0,3.0,0.0,CONDO
3831324,2632 S 58th Ct,Cicero,IL,60804,41.84236,-87.770164,299900.0,1.0,3.0,1280.0,SINGLE_FAMILY
3638635,5109 N Keating Ave,Chicago,IL,60630,41.97386,-87.74645,624700.0,2.0,4.0,2630.0,SINGLE_FAMILY
99345255,1910 W Superior St #1,Chicago,IL,60622,41.895283,-87.6751,420000.0,2.0,2.0,1250.0,CONDO
101507531,2771 W Francis Pl UNIT 303N,Chicago,IL,60647,41.91783,-87.69643,399000.0,2.0,2.0,0.0,CONDO
2075720468,420 S Clinton St APT 506,Chicago,IL,60607,41.876194,-87.641266,380000.0,2.0,2.0,1255.0,CONDO
