School_ID,Short_Name,Long_Name,School_Type,School_Latitude,School_Longitude,Website,Creative_School_Certification
610594,PATHWAYS - HUMBOLDT PARK HS,Pathways in Education - Humboldt Park,Citywide-Option,41.902841,-87.687946,https://pathwaysineducation.org,INCOMPLETE DATA
609773,TUBMAN,Harriet Tubman Elementary School,Neighborhood,41.934126,-87.656229,https://tubmanelementarycps.org/,EXCELLING
610029,LOZANO,Rodolfo Lozano Bilingual & International Ctr ES,Neighborhood,41.908886,-87.665093,https://lozano1501.org,DEVELOPING
610504,THOMAS,Velma F Thomas Early Childhood Center,Neighborhood,41.827775,-87.677542,http://thomas.cps.edu/,EXCELLING
609797,BEIDLER,Jacob Beidler Elementary School,Neighborhood,41.885321,-87.705855,https://www.beidlerschool.org/,STRONG
609973,ZAPATA,Emiliano Zapata Elementary Academy,Neighborhood,41.841394,-87.734313,http://zapata.cps.edu,DEVELOPING
609705,FENGER HS,Christian Fenger Academy High School,Neighborhood,41.689951,-87.637572,https://fengerhighschool.org,STRONG
400062,PERSPECTIVES - TECH HS,Perspectives - High School of Technology,Charter,41.745949,-87.650657,https://www.pcsedu.org,DEVELOPING
609922,BELMONT-CRAGIN,Belmont-Cragin Elementary School,Small,41.92095,-87.757343,https://belmontcragin.cps.edu,EXCELLING
610060,CHICAGO WORLD LANGUAGE ACADEMY,Chicago World Language Academy,Magnet,41.8743,-87.660985,https://www.chicagoworldlanguageacademy.cps.edu,DEVELOPING
609991,HERZL,Theodore Herzl Elementary School,Neighborhood,41.862081,-87.718994,https://www.herzlschoolofexcellence.org,EXCELLING
609729,SCHURZ HS,Carl Schurz High School,Neighborhood,41.946365,-87.735612,https://schurzhs.org,EXCELLING
400013,ASPIRA - EARLY COLLEGE HS,ASPIRA Charter School - Early College High School,Charter,41.937298,-87.727096,https://aec.aspirail.org,STRONG
610254,DVORAK,Dvorak Technology Academy,Neighborhood,41.858883,-87.715744,http://cps.edu/dvorak,EMERGING
610124,WASHINGTON H ES,Harold Washington Elementary School,Neighborhood,41.728534,-87.596257,https://www.hwespacers.org,DEVELOPING
609974,HAWTHORNE,Hawthorne Elementary Scholastic Academy,Magnet,41.942275,-87.657709,https://www.hawthorneacad.org,EXCELLING
610152,RUGGLES,Martha Ruggles Elementary School,Neighborhood,41.751946,-87.618066,https://ruggleselementary.org,EMERGING
400029,CICS - WASHINGTON PARK,CICS - Washington Park,Charter,41.783617,-87.622068,https://regenerationschools.org/cics-washington-park,DEVELOPING
400044,KIPP - ASCEND,KIPP Ascend Charter School,Charter,41.85837,-87.721071,https://www.kippchicago.org,DEVELOPING
400165,LEARN - MIDDLE,L.E.A.R.N. - Middle School Campus,Charter,41.887413,-87.702704,http://www.learncharter.org,INCOMPLETE DATA
400105,URBAN PREP - BRONZEVILLE HS,Urban Prep Academy for Young Men - Bronzeville,Charter,41.831118,-87.613629,https://urbanprep.org,INCOMPLETE DATA
610573,SAFE ACHIEVE HS,Safe Achieve Academy HS,Citywide-Option,41.753115,-87.551804,https://sesischools.com/locations/safe-achieve-academy-of-chicago,INCOMPLETE DATA
609986,HENDERSON,Charles R Henderson Elementary School,Neighborhood,41.790591,-87.671887,http://henderson.cps.edu,STRONG
400159,CHRISTOPHER HOUSE,Christopher House Charter School,Charter,41.922181,-87.757522,https://christopherhouse.org,EMERGING
609836,CANTY,Arthur E Canty Elementary School,Neighborhood,41.948007,-87.829296,https://www.cantyschool.org,EXCELLING
609827,BURNSIDE,Burnside Elementary Scholastic Academy,Magnet,41.728481,-87.607435,https://burnsidescholasticacademy.org,EMERGING
609830,BRUNSON,Milton Brunson Math & Science Specialty ES,Neighborhood,41.897663,-87.765606,https://brunsonbulldogs.org,STRONG
610170,COLUMBIA EXPLORERS,Columbia Explorers Elementary Academy,Neighborhood,41.811069,-87.704199,https://columbiaexplorers.org,STRONG
400106,NOBLE - JOHNSON HS,Noble - John and Eunice Johnson College Prep,Charter,41.778369,-87.635117,https://nobleschools.org/johnson,DEVELOPING
609759,CLEMENTE HS,Roberto Clemente Community Academy High School,Neighborhood,41.902626,-87.686906,https://www.rccachicago.org,STRONG
609805,JOPLIN,Scott Joplin Elementary School,Neighborhood,41.749339,-87.669366,https://scottjoplinschool.org,EMERGING
609755,YOUNG HS,Whitney M Young Magnet High School,Selective enrollment,41.878603,-87.664233,https://wyoung.org,EXCELLING
610252,DETT,Robert Nathaniel Dett Elementary School,Neighborhood,41.87987,-87.680315,http://dett.cps.edu,INCOMPLETE DATA
610295,HIGGINS,Thomas J Higgins Elementary Community Academy,Neighborhood,41.681031,-87.646994,https://higginsacademy.cps.edu,STRONG
610396,TARKINGTON,Tarkington School of Excellence ES,Neighborhood,41.764407,-87.706445,https://tarkington.cps.edu,INCOMPLETE DATA
610339,STAGG,Amos Alonzo Stagg Elementary School,Neighborhood,41.758925,-87.649217,https://staggsoe.org,EMERGING
610293,MELODY,Genevieve Melody Elementary School,Neighborhood,41.878799,-87.724661,https://melodystem.org,EMERGING
610048,MANIERRE,George Manierre Elementary School,Neighborhood,41.908247,-87.639827,https://manierreferguson.org,DEVELOPING
609919,FISKE,John Fiske Elementary School,Neighborhood,41.785183,-87.608633,https://fiskeelementary.org,EMERGING
400026,CICS - LOOMIS,CICS - Loomis Primary,Charter,41.720246,-87.657561,https://www.cicsloomislongwood.org,EXCELLING
609807,HAMPTON,Lionel Hampton Fine & Performing Arts ES,Neighborhood,41.753457,-87.708731,https://hamptoncps.org,EXCELLING
610068,HANSON PARK,Hanson Park Elementary School,Neighborhood,41.923955,-87.761515,https://hanson.cps.edu,STRONG
609762,JULIAN HS,Percy L Julian High School,Neighborhood,41.705859,-87.653749,https://pljulianhs.net,EXCELLING
609987,HENDRICKS,Thomas A Hendricks Elementary Community Academy,Neighborhood,41.815788,-87.633664,https://hendricksacademy.org,STRONG
609780,MARINE LEADERSHIP AT AMES HS,Marine Leadership Academy at Ames,Military academy,41.916045,-87.721742,http://marine.cps.edu,EXCELLING
610087,BLAIR,Blair Early Childhood Center,Special Education,41.776556,-87.790604,https://blair.cps.edu/,EXCELLING
610099,NORWOOD PARK,Norwood Park Elementary School,Neighborhood,41.988153,-87.802979,http://norwoodpark.cps.edu,EXCELLING
610268,ASHE,Arthur R Ashe Elementary School,Neighborhood,41.740184,-87.601174,https://cps.edu/ashe,DEVELOPING
400180,KIPP - ONE,KIPP One Academy,Charter,41.893805,-87.726615,https://www.kippchicago.org,STRONG
400121,ACERO - DE LA CRUZ,Acero Charter Schools - Sor Juana Inés de la Cruz,Charter,42.016476,-87.684406,http://jc.aceroschools.org,EXCELLING
610094,NETTELHORST,Louis Nettelhorst Elementary School,Neighborhood,41.941637,-87.644561,https://nettelhorst.org,EXCELLING
609866,COONLEY,John C Coonley Elementary School,Regional gifted center,41.955553,-87.683765,http://coonley.cps.edu,STRONG
610220,WATERS,Thomas J Waters Elementary School,Neighborhood,41.964165,-87.691433,http://www.waterselementary.org,EXCELLING
609791,BASS,Perkins Bass Elementary School,Neighborhood,41.774246,-87.653532,https://perkinsbasselementary.org/,EXCELLING
609735,TILDEN HS,Edward Tilden Career Community Academy HS,Neighborhood,41.80751,-87.642966,https://tilden.cps.edu,EXCELLING
610184,SPRY ES,John Spry Elementary Community School,Neighborhood,41.847747,-87.700184,http://spry.cps.edu,DEVELOPING
400047,LEARN - CAMPBELL,L.E.A.R.N. - Charles and Dorothy Campbell Campus,Charter,41.877861,-87.698739,http://www.learncharter.org,DEVELOPING
400143,YCCS - WEST TOWN,YCCS-West Town Acad Alternative HS,Charter,41.890803,-87.702053,https://westtownacademy.org,EMERGING
610010,JAHN,Friedrich L. Jahn Elementary of the Fine Arts,Neighborhood,41.939247,-87.67581,https://www.jahnschool.com,EXCELLING
610021,CASALS,Pablo Casals Elementary School,Neighborhood,41.904503,-87.714234,https://www.casalssoe.org/,DEVELOPING
400119,LEGAL PREP HS,Legal Prep Charter Academy,Charter,41.881733,-87.733778,https://www.legalprep.org,DEVELOPING
400125,YCCS - ASPIRA PANTOJA,"YCCS-ASPIRA,Antonia Pantoja Alternative HS",Charter,41.938187,-87.727137,https://aap.aspirail.org,INCOMPLETE DATA
609975,HAY,John Hay Elementary Community Academy,Neighborhood,41.899171,-87.755813,https://johnhayacademy.org,DEVELOPING
400120,ACERO - CLEMENTE,Acero Charter Schools - Roberto Clemente,Charter,41.917952,-87.78783,http://rc.aceroschools.org,EXCELLING
610216,WALSH,John A Walsh Elementary School,Neighborhood,41.854836,-87.648086,http://walshschool.cps.edu,STRONG
400031,CICS - WRIGHTWOOD,CICS - Wrightwood,Charter,41.745365,-87.692614,https://cicswrightwood.org,DEVELOPING
610207,VANDERPOEL,John H Vanderpoel Elementary Magnet School,Magnet,41.720817,-87.665559,http://www.vhaelementary.org/,STRONG
610136,PRESCOTT,William H Prescott Elementary School,Neighborhood,41.928841,-87.669528,https://prescottparents.com,EXCELLING
610405,SUDER,Suder Montessori Magnet ES,Magnet,41.883215,-87.677636,https://sudermontessori.org,STRONG
610291,LEE,Richard Henry Lee Elementary School,Neighborhood,41.775305,-87.728884,https://leelions.org,DEVELOPING
610174,SHIELDS,James Shields Elementary School,Neighborhood,41.815909,-87.689647,http://shields.cps.edu,EXCELLING
609873,CROWN,Crown Community Academy of Fine Arts Center ES,Neighborhood,41.852663,-87.71247,https://crown.cps.edu,INCOMPLETE DATA
400149,ACERO - SOTO HS,Acero Charter Schools - Victoria Soto,Charter,41.801762,-87.711025,http://vs.aceroschools.org,INCOMPLETE DATA
609678,JONES HS,William Jones College Preparatory High School,Selective enrollment,41.873066,-87.627675,https://www.jonescollegeprep.org,EXCELLING
609917,FERNWOOD,Fernwood Elementary School,Neighborhood,41.711184,-87.640414,http://www.fernwoodelementary.org/,INCOMPLETE DATA
400133,YCCS - INNOVATIONS,YCCS- Innovations HS of Arts Integration,Charter,41.883047,-87.627734,https://www.innovationshs.org,STRONG
610557,PATHWAYS - ASHBURN HS,Pathways in Education- Ashburn,Citywide-Option,41.735239,-87.70406,https://pathwaysineducation.org,EMERGING
609894,DRAKE,John B Drake Elementary School,Neighborhood,41.844043,-87.628553,https://drake.cps.edu,EXCELLING
