ZCTA5CE20,count
60601.0,349
60602.0,233
60603.0,152
60604.0,108
60605.0,767
60606.0,290
60607.0,962
60608.0,2578
60609.0,2825
60610.0,1172
60611.0,1281
60612.0,1567
60613.0,1079
60614.0,2841
60615.0,650
60616.0,1043
60617.0,2433
60618.0,2122
60619.0,1167
60620.0,1152
60621.0,725
60622.0,1750
60623.0,1628
60624.0,1033
60625.0,1148
60626.0,646
60628.0,1432
60629.0,954
60630.0,1125
60631.0,430
60632.0,1364
60633.0,424
60634.0,1000
60636.0,866
60637.0,884
60638.0,840
60639.0,1479
60640.0,1545
60641.0,1334
60642.0,1077
60643.0,751
60644.0,722
60645.0,535
60646.0,464
60647.0,2111
60649.0,673
60651.0,1026
60652.0,403
60653.0,557
60654.0,894
60655.0,256
60656.0,266
60657.0,1715
60659.0,482
60660.0,835
60661.0,298
60707.0,277
60827.0,86
