Zipcode,Unemployed,people who prefered to walk,Mean travel time to work (minutes),Mean household income (dollars),Per capita income (dollars),Employed and With private health insurance,,,,,,,,,,,,,,,,,,,,,
Percent,9.6%,1.9%,N/A,N/A,N/A,53.3%,,,,,,,,,,,,,,,,,,,,,
60622,"1,235","1,379",30.5,"176,355","84,251","34,462",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,235","1,379",30.5,"176,355","84,251","34,462",,,,,,,,,,,,,,,,,,,,,
Percent,2.6%,3.7%,N/A,N/A,N/A,92.1%,,,,,,,,,,,,,,,,,,,,,
60623,"3,238","1,536",32.4,"61,412","22,299","17,633",,,,,,,,,,,,,,,,,,,,,
Estimate,"3,238","1,536",32.4,"61,412","22,299","17,633",,,,,,,,,,,,,,,,,,,,,
Percent,5.4%,5.0%,N/A,N/A,N/A,59.6%,,,,,,,,,,,,,,,,,,,,,
60624,"2,810",203,34.1,"51,347","20,203","7,290",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,810",203,34.1,"51,347","20,203","7,290",,,,,,,,,,,,,,,,,,,,,
Percent,10.3%,1.7%,N/A,N/A,N/A,61.4%,,,,,,,,,,,,,,,,,,,,,
60625,"2,925","2,086",35.3,"116,388","47,552","31,684",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,925","2,086",35.3,"116,388","47,552","31,684",,,,,,,,,,,,,,,,,,,,,
Percent,4.5%,4.7%,N/A,N/A,N/A,74.5%,,,,,,,,,,,,,,,,,,,,,
60626,"1,823","1,311",36.8,"75,956","37,510","20,558",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,823","1,311",36.8,"75,956","37,510","20,558",,,,,,,,,,,,,,,,,,,,,
Percent,4.2%,4.7%,N/A,N/A,N/A,76.2%,,,,,,,,,,,,,,,,,,,,,
60628,"4,595",500,38.7,"64,621","26,426","14,610",,,,,,,,,,,,,,,,,,,,,
Estimate,"4,595",500,38.7,"64,621","26,426","14,610",,,,,,,,,,,,,,,,,,,,,
Percent,9.5%,2.3%,N/A,N/A,N/A,70.3%,,,,,,,,,,,,,,,,,,,,,
60629,"5,352",559,36.1,"77,752","24,564","28,379",,,,,,,,,,,,,,,,,,,,,
Estimate,"5,352",559,36.1,"77,752","24,564","28,379",,,,,,,,,,,,,,,,,,,,,
Percent,6.3%,1.3%,N/A,N/A,N/A,65.2%,,,,,,,,,,,,,,,,,,,,,
60630,"1,511",512,33.4,"119,376","47,537","22,945",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,511",512,33.4,"119,376","47,537","22,945",,,,,,,,,,,,,,,,,,,,,
Percent,3.4%,1.8%,N/A,N/A,N/A,84.8%,,,,,,,,,,,,,,,,,,,,,
60631,543,308,29.9,"143,453","58,126","13,066",,,,,,,,,,,,,,,,,,,,,
Estimate,543,308,29.9,"143,453","58,126","13,066",,,,,,,,,,,,,,,,,,,,,
Percent,2.3%,2.1%,N/A,N/A,N/A,92.4%,,,,,,,,,,,,,,,,,,,,,
60632,"4,293","1,057",32.6,"79,772","24,818","24,056",,,,,,,,,,,,,,,,,,,,,
