zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
70477412,4244 S Vincennes Ave APT 3,Chicago,IL,60653,41.817238,-87.61436,320000.0,2.0,3.0,2200.0,CONDO
2071135741,5741 S Peoria St,Chicago,IL,60621,41.789394,-87.64711,410000.0,2.0,7.0,,MULTI_FAMILY
101527124,6417 S Drexel Ave,Chicago,IL,60637,41.778206,-87.60248,699900.0,4.0,5.0,4000.0,SINGLE_FAMILY
4000036,6442 S Ingleside Ave,Chicago,IL,60637,41.777348,-87.60197,562900.0,4.0,5.0,4400.0,SINGLE_FAMILY
3982577,5154 S Wolcott Ave,Chicago,IL,60609,41.799652,-87.67238,299900.0,3.0,4.0,2193.0,SINGLE_FAMILY
3993708,5724 S Paulina St,Chicago,IL,60636,41.789562,-87.66723,249900.0,3.0,4.0,1146.0,SINGLE_FAMILY
441102711,(undisclosed Address),Chicago,IL,60621,,,135000.0,2.0,5.0,,MULTI_FAMILY
89909818,108 E 41st St APT 1E,Chicago,IL,60653,41.82046,-87.62266,289900.0,3.0,3.0,1860.0,CONDO
3987112,4800 S Chicago Beach Dr APT 205N,Chicago,IL,60615,41.806606,-87.58669,149000.0,1.0,1.0,800.0,CONDO
440209681,4837 S Forrestville Ave #G,Chicago,IL,60615,41.806625,-87.61227,199000.0,2.0,2.0,1600.0,CONDO
332931218,3922 S King Dr #1S,Chicago,IL,60653,41.823086,-87.61762,599900.0,4.0,4.0,2750.0,CONDO
159025344,5822 S Wabash Ave,Chicago,IL,60637,41.7885,-87.624405,1100000.0,6.0,9.0,,MULTI_FAMILY
2070415284,6346 S Kenwood Ave,Chicago,IL,60637,41.779636,-87.59323,859000.0,4.0,5.0,3200.0,SINGLE_FAMILY
80834863,3000 S Wentworth Ave APT 3A,Chicago,IL,60616,41.839554,-87.631966,309000.0,2.0,3.0,1200.0,CONDO
3992316,5815 S May St,Chicago,IL,60621,41.78813,-87.65316,500000.0,8.0,16.0,,MULTI_FAMILY
87723955,1316 W 52nd St,Chicago,IL,60609,41.799843,-87.658226,325000.0,2.0,3.0,2800.0,SINGLE_FAMILY
99358497,2272 S Archer Ave UNIT 2H,Chicago,IL,60616,41.8518,-87.63763,337000.0,2.0,2.0,980.0,CONDO
3983400,5207 S Laflin St,Chicago,IL,60609,41.799206,-87.66195,275000.0,3.0,5.0,3100.0,SINGLE_FAMILY
349641497,924 E 46th St #1,Chicago,IL,60653,41.8116,-87.60283,497000.0,3.0,4.0,3000.0,CONDO
2082905386,4314 S Wells St,Chicago,IL,60609,41.815887,-87.6327,280000.0,2.0,6.0,,MULTI_FAMILY
62015147,2605 S Indiana Ave UNIT 2201,Chicago,IL,60616,41.84519,-87.62145,205000.0,2.0,2.0,0.0,CONDO
87719735,3805 S Paulina St APT 1B,Chicago,IL,60609,41.82474,-87.66762,225000.0,1.0,2.0,950.0,CONDO
2118207587,5338 S Wood St,Chicago,IL,60609,41.796497,-87.66987,220000.0,2.0,5.0,,MULTI_FAMILY
58370015,2941 S Michigan Ave APT 407,Chicago,IL,60616,41.84082,-87.6226,155000.0,1.0,1.0,769.0,CONDO
2099014707,6557 S University Ave #204,Chicago,IL,60637,41.77525,-87.59815,314999.0,3.0,3.0,1900.0,CONDO
445878236,3882 S King Dr,Chicago,IL,60653,41.824215,-87.617256,1250000.0,4.0,4.0,4000.0,SINGLE_FAMILY
3994591,6343 S Seeley Ave,Chicago,IL,60636,41.777985,-87.67474,99500.0,2.0,5.0,1548.0,SINGLE_FAMILY
443984308,6320 S Greenwood Ave #2S,Chicago,IL,60637,41.779778,-87.59956,249900.0,2.0,2.0,1200.0,CONDO
3988466,5471 S Hyde Park Blvd APT 10A,Chicago,IL,60615,41.796097,-87.58355,209000.0,2.0,2.0,1500.0,CONDO
2062864720,6133 S Greenwood Ave APT 1N,Chicago,IL,60637,41.783092,-87.599045,419900.0,3.0,3.0,2379.0,CONDO
3879611,3228 S Paulina St,Chicago,IL,60608,41.83522,-87.66834,299000.0,2.0,3.0,0.0,SINGLE_FAMILY
440626645,5300 S Shore Dr APT 47,Chicago,IL,60615,41.79929,-87.58292,95000.0,1.0,1.0,750.0,CONDO
3990991,5716 S Indiana Ave,Chicago,IL,60637,41.790558,-87.621216,290000.0,4.0,4.0,3348.0,SINGLE_FAMILY
63706532,6700 S South Shore Dr APT 17B,Chicago,IL,60649,41.773083,-87.567154,195000.0,2.0,2.0,1230.0,CONDO
2096186950,4801 S Union Ave,Chicago,IL,60609,41.806965,-87.642746,499999.0,3.0,4.0,2400.0,SINGLE_FAMILY
101445561,1363 E 64th St #1,Chicago,IL,60637,41.7785,-87.592026,329000.0,3.0,3.0,2300.0,CONDO
80851820,2101 E 67th St APT 110,Chicago,IL,60649,41.773182,-87.573685,85000.0,1.0,2.0,760.0,CONDO
87718524,1517 E Marquette Rd #1E,Chicago,IL,60637,41.77489,-87.58807,150000.0,2.0,2.0,1000.0,CONDO
2109598708,5210 S King Dr APT H,Chicago,IL,60615,41.79995,-87.61656,449000.0,3.0,4.0,2340.0,TOWNHOUSE
3991012,(undisclosed Address),Chicago,IL,60637,,,285000.0,3.0,5.0,3155.0,SINGLE_FAMILY
3999786,6751 S Saint Lawrence Ave,Chicago,IL,60637,41.77157,-87.61022,238000.0,2.0,4.0,2025.0,SINGLE_FAMILY
