zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
89968987,1342 N Claremont Ave APT 2R,Chicago,IL,60622,41.906162,-87.68624,274900.0,1.0,2.0,750.0,CONDO
87716201,3040 W Diversey Ave APT 1N,Chicago,IL,60647,41.932293,-87.70428,295000.0,1.0,2.0,0.0,CONDO
2118072260,1349 N Ridgeway Ave,Chicago,IL,60651,41.905937,-87.71997,275000.0,2.0,5.0,,MULTI_FAMILY
70459564,6131 N Hoyne Ave #3,Chicago,IL,60659,41.99283,-87.681984,159900.0,1.0,1.0,800.0,CONDO
3638635,5109 N Keating Ave,Chicago,IL,60630,41.97386,-87.74645,624700.0,2.0,4.0,2630.0,SINGLE_FAMILY
3572149,1801 W Touhy Ave UNIT B,Chicago,IL,60626,42.012257,-87.67624,374000.0,2.0,3.0,2000.0,TOWNHOUSE
3619513,5627 N Fairfield Ave,Chicago,IL,60659,41.983917,-87.69767,500000.0,2.0,3.0,0.0,SINGLE_FAMILY
3571489,7050 N Ridge Blvd,Chicago,IL,60645,42.010292,-87.6828,975000.0,4.0,3.0,3500.0,SINGLE_FAMILY
101519072,4726 N Dover St #1,Chicago,IL,60640,41.967896,-87.66638,1400000.0,4.0,3.0,3300.0,SINGLE_FAMILY
49918894,2333 W Saint Paul Ave APT 306,Chicago,IL,60647,41.91324,-87.6856,499000.0,2.0,2.0,1200.0,CONDO
306332688,2245 W Irving Park Rd UNIT 2,Chicago,IL,60618,41.953754,-87.68542,595000.0,2.0,3.0,1800.0,CONDO
123560546,2246 W Medill Ave #2,Chicago,IL,60647,41.924282,-87.684875,449999.0,2.0,2.0,1250.0,CONDO
2084645571,2140 N Winchester Ave APT 2,Chicago,IL,60614,41.920876,-87.67668,549000.0,3.0,2.0,0.0,TOWNHOUSE
3573175,1701 W Wallen Ave APT 1A,Chicago,IL,60626,42.002327,-87.67294,130000.0,1.0,1.0,800.0,CONDO
3663457,4947 W Grace St,Chicago,IL,60641,41.949455,-87.75159,399000.0,2.0,3.0,1381.0,SINGLE_FAMILY
3552655,7100 N Mankato Ave,Chicago,IL,60646,42.01042,-87.78048,599000.0,2.0,3.0,2450.0,SINGLE_FAMILY
3651561,5718 W Wilson Ave,Chicago,IL,60630,41.964348,-87.77068,349000.0,2.0,5.0,0.0,SINGLE_FAMILY
58360130,5536 N Glenwood Ave APT 2F,Chicago,IL,60640,41.982807,-87.665344,719900.0,3.0,3.0,0.0,CONDO
2068981390,2212 N Nagle Ave,Elmwood Park,IL,60707,41.920486,-87.78693,224900.0,3.0,5.0,1224.0,SINGLE_FAMILY
65561843,2841 N Damen Ave #2,Chicago,IL,60618,41.933533,-87.67781,450000.0,2.0,2.0,1250.0,CONDO
3637452,5415 W Carmen Ave,Chicago,IL,60630,41.97318,-87.76316,474900.0,2.0,3.0,1443.0,SINGLE_FAMILY
60261991,5101 W Montana St APT 6,Chicago,IL,60639,41.92483,-87.75396,231900.0,2.0,3.0,1250.0,CONDO
3685427,4875 W Bloomingdale Ave,Chicago,IL,60639,41.912983,-87.7489,325000.0,2.0,4.0,1438.0,SINGLE_FAMILY
87716513,4976 N Milwaukee Ave APT 101,Chicago,IL,60630,41.97132,-87.764465,229000.0,1.0,2.0,1000.0,CONDO
3551868,6453 N Sayre Ave,Chicago,IL,60631,41.999557,-87.80106,349000.0,2.0,3.0,1153.0,SINGLE_FAMILY
71327232,3934 W Montrose Ave,Chicago,IL,60618,41.961235,-87.726776,215900.0,2.0,3.0,1400.0,SINGLE_FAMILY
3652976,4242 N Marmora Ave,Chicago,IL,60634,41.958015,-87.77478,340000.0,1.0,2.0,1232.0,SINGLE_FAMILY
80841341,6144 N Washtenaw Ave APT 1,Chicago,IL,60659,41.99351,-87.69742,209900.0,2.0,2.0,1119.0,CONDO
3543190,3021 W Birchwood Ave,Chicago,IL,60645,42.017166,-87.7052,579999.0,3.0,6.0,2938.0,SINGLE_FAMILY
3571420,7105 N Ridge Blvd,Chicago,IL,60645,42.011566,-87.68236,650000.0,4.0,4.0,3280.0,SINGLE_FAMILY
3668431,3252 N California Ave #3,Chicago,IL,60618,41.94094,-87.69821,549000.0,2.0,3.0,1900.0,CONDO
3543632,2901 W Sherwin Ave,Chicago,IL,60645,42.014477,-87.702225,849000.0,4.0,4.0,2480.0,SINGLE_FAMILY
3651277,5727 W Lawrence Ave APT 201,Chicago,IL,60630,41.967472,-87.77105,250000.0,2.0,2.0,977.0,CONDO
3665298,4630 W Addison St,Chicago,IL,60641,41.946426,-87.74368,580000.0,3.0,4.0,2560.0,SINGLE_FAMILY
2077632946,2116 N California Ave #6,Chicago,IL,60647,41.92017,-87.69771,800000.0,2.0,3.0,2100.0,CONDO
446654172,2212 W Lawrence Ave #3E,Chicago,IL,60625,41.968708,-87.68453,629000.0,2.0,3.0,1600.0,CONDO
63694816,3839 N Western Ave UNIT 301,Chicago,IL,60618,41.95083,-87.68827,304900.0,1.0,2.0,0.0,CONDO
441065334,2510 S Saint Louis Ave,Chicago,IL,60623,41.92688,-87.714966,380000.0,3.0,4.0,,MULTI_FAMILY
158771983,1407 N Hoyne Ave,Chicago,IL,60622,41.907333,-87.67949,5995000.0,7.0,5.0,10250.0,SINGLE_FAMILY
65561676,2442 N Southport Ave APT 1N,Chicago,IL,60614,41.926537,-87.66373,1100000.0,3.0,4.0,3300.0,CONDO
89891214,1915 W Diversey Pkwy APT 402,Chicago,IL,60614,41.93205,-87.675896,610000.0,2.0,3.0,1800.0,CONDO
