zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
348767586,2907 W Dickens Ave,Chicago,IL,60647,41.919277,-87.70039,1699000.0,5.0,5.0,3850.0,SINGLE_FAMILY
353723832,399 W Fullerton Pkwy #16E,Chicago,IL,60614,41.92531,-87.63908,775000.0,4.0,4.0,3200.0,CONDO
87689740,225 W Huron St APT 520,Chicago,IL,60654,41.894566,-87.63523,299000.0,1.0,1.0,820.0,CONDO
80852891,1401 N Astor St,Chicago,IL,60610,41.908016,-87.62737,3395000.0,7.0,5.0,5500.0,SINGLE_FAMILY
3826397,2429 S Trumbull Ave,Chicago,IL,60623,41.847195,-87.71085,269999.0,2.0,3.0,1791.0,SINGLE_FAMILY
3863855,300 N State St APT 2630,Chicago,IL,60654,41.887913,-87.62902,239900.0,1.0,1.0,726.0,CONDO
2073951630,1322 S Wabash Ave PENTHOUSE 6,Chicago,IL,60605,41.86478,-87.62601,660000.0,2.0,2.0,2221.0,CONDO
2078577129,660 W Wayman St UNIT 403B,Chicago,IL,60661,41.887646,-87.6451,329900.0,2.0,2.0,0.0,CONDO
444740400,1301 N Dearborn Pkwy #1306,Chicago,IL,60610,41.906097,-87.63005,1349000.0,3.0,3.0,2240.0,CONDO
89964448,1053 W Wrightwood Ave UNIT 1,Chicago,IL,60614,41.92871,-87.65577,1050000.0,3.0,3.0,2462.0,CONDO
443718540,2127 W Madison 202,Chicago,IL,60612,41.88115,-87.68052,459000.0,2.0,2.0,1228.0,CONDO
80835311,630 N Franklin St APT 721,Chicago,IL,60654,41.893406,-87.635864,399999.0,2.0,2.0,1200.0,CONDO
58362576,2221 N Lister Ave APT 3D,Chicago,IL,60614,41.92209,-87.674446,499900.0,2.0,2.0,0.0,CONDO
3793584,1220 N Springfield Ave,Chicago,IL,60651,41.90334,-87.724236,525000.0,4.0,4.0,2300.0,SINGLE_FAMILY
80810974,10 E Ontario St APT 4101,Chicago,IL,60611,41.89358,-87.62742,350000.0,1.0,1.0,1093.0,CONDO
70476438,1204 W 33rd Pl,Chicago,IL,60608,41.833714,-87.65631,1150000.0,5.0,5.0,4461.0,SINGLE_FAMILY
3682765,1629 N Natoma Ave,Chicago,IL,60707,41.91001,-87.7908,439900.0,2.0,3.0,1826.0,SINGLE_FAMILY
446907152,2207 N Orchard St #3,Chicago,IL,60614,41.922127,-87.64605,1489000.0,3.0,3.0,0.0,CONDO
2127626025,2314 N Lincoln Park W APT 11S,Chicago,IL,60614,41.924397,-87.63698,1449000.0,3.0,3.0,3000.0,CONDO
3845152,1210 N Astor St APT 3B,Chicago,IL,60610,41.90421,-87.62712,580000.0,2.0,3.0,2300.0,CONDO
402459355,642 W Webster Ave #1,Chicago,IL,60614,41.921886,-87.645096,1660000.0,4.0,4.0,0.0,CONDO
3684180,1700 N Major Ave,Chicago,IL,60639,41.911297,-87.76833,499000.0,3.0,9.0,3199.0,SINGLE_FAMILY
2119383389,464 N Artesian Ave,Chicago,IL,60612,41.890385,-87.68827,625000.0,2.0,5.0,,MULTI_FAMILY
3740397,1840 N Mohawk St,Chicago,IL,60614,41.915867,-87.6428,849900.0,3.0,3.0,1566.0,TOWNHOUSE
158676055,3454 W Potomac Ave,Chicago,IL,60651,41.904846,-87.714005,1029000.0,5.0,6.0,4200.0,SINGLE_FAMILY
3863577,300 N State St APT 4706,Chicago,IL,60654,41.887913,-87.62902,235000.0,1.0,1.0,725.0,CONDO
70465476,1827 W Iowa St #2,Chicago,IL,60622,41.897526,-87.67334,549900.0,2.0,2.0,1200.0,CONDO
99357237,659 W Randolph St #1416,Chicago,IL,60661,41.884003,-87.64471,450000.0,2.0,2.0,1230.0,CONDO
446922801,2612 W Chicago Ave #1E,Chicago,IL,60622,41.895706,-87.6921,925000.0,4.0,4.0,3200.0,CONDO
119089248,1540 N Dearborn Pkwy,Chicago,IL,60610,41.910656,-87.63061,5950000.0,9.0,5.0,7600.0,SINGLE_FAMILY
101276136,659 W Randolph St #1408,Chicago,IL,60661,41.884003,-87.64471,330000.0,1.0,1.0,880.0,CONDO
65564322,900 N Kingsbury St APT 1150,Chicago,IL,60610,41.89842,-87.64415,1495000.0,3.0,3.0,2327.0,CONDO
62011281,545 W Dickens Ave,Chicago,IL,60614,41.91994,-87.643,3650000.0,7.0,5.0,6400.0,SINGLE_FAMILY
2071463368,1335 W Walton St #2,Chicago,IL,60642,41.898643,-87.66093,650000.0,2.0,3.0,1540.0,CONDO
58366675,333 W Hubbard St APT 416,Chicago,IL,60654,41.889545,-87.63613,425000.0,2.0,2.0,1187.0,CONDO
54536153,1234 N Dearborn St,Chicago,IL,60610,41.90496,-87.63044,1075000.0,3.0,2.0,1555.0,TOWNHOUSE
2068733100,401 N Wabash Ave #41AB,Chicago,IL,60611,41.888954,-87.62642,3490000.0,6.0,5.0,5019.0,CONDO
2110635598,1350 N Astor St APT 3C,Chicago,IL,60610,41.90738,-87.62798,285000.0,1.0,1.0,1000.0,CONDO
3874185,839 S Laflin St #1S,Chicago,IL,60607,41.870537,-87.66377,294999.0,1.0,2.0,1100.0,CONDO
439201628,611 S Wells St APT 2005,Chicago,IL,60607,41.874146,-87.63326,369000.0,2.0,2.0,1250.0,CONDO
353485918,2424 N Linden Pl #201,Chicago,IL,60647,41.925457,-87.703415,850000.0,3.0,4.0,0.0,CONDO
