zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
4079437,10702 S Albany Ave,Chicago,IL,60655,41.698696,-87.699066,320000.0,1.0,3.0,898.0,SINGLE_FAMILY
4013346,8323 S Hamilton Ave,Chicago,IL,60620,41.742134,-87.67624,299000.0,3.0,4.0,1659.0,SINGLE_FAMILY
4130361,9716 S Union Ave,Chicago,IL,60628,41.71728,-87.64102,200000.0,1.0,4.0,1243.0,SINGLE_FAMILY
3989208,5555 S Everett Ave APT D1,Chicago,IL,60637,41.793736,-87.58206,199900.0,3.0,4.0,2500.0,CONDO
2075713588,1221 E 46th St UNIT 2,Chicago,IL,60653,41.810516,-87.59597,449900.0,2.0,3.0,0.0,CONDO
3987376,4800 S Chicago Beach Dr APT 608N,Chicago,IL,60615,41.8066,-87.586685,255000.0,2.0,2.0,1158.0,CONDO
3996975,7037 S Wolcott Ave,Chicago,IL,60636,41.765568,-87.67078,299900.0,2.0,5.0,1820.0,SINGLE_FAMILY
441090699,5955 S Whipple St,Chicago,IL,60629,41.78472,-87.699295,275000.0,2.0,4.0,,MULTI_FAMILY
4100063,11825 S Campbell Ave,Chicago,IL,60655,41.678326,-87.68284,315000.0,3.0,4.0,1465.0,SINGLE_FAMILY
2069840305,4936 S Vincennes Ave,Chicago,IL,60615,41.804695,-87.61425,699999.0,4.0,5.0,3900.0,SINGLE_FAMILY
442072138,5017 S Greenwood Ave,Chicago,IL,60615,41.8036,-87.5986,1400000.0,4.0,9.0,0.0,SINGLE_FAMILY
119094981,5000 S East End Ave APT 13A,Chicago,IL,60615,41.804688,-87.58585,192500.0,3.0,3.0,2600.0,CONDO
4123752,9056 S Marshfield Ave,Chicago,IL,60620,41.72857,-87.66442,319999.0,3.0,5.0,2399.0,SINGLE_FAMILY
4114470,9220 S Dauphin Ave,Chicago,IL,60619,41.726845,-87.60351,297500.0,3.0,4.0,2096.0,SINGLE_FAMILY
4129776,(undisclosed Address),Chicago,IL,60643,,,239000.0,2.0,4.0,1012.0,SINGLE_FAMILY
4133713,34 E 100th Pl,Chicago,IL,60628,41.711998,-87.622314,235000.0,2.0,5.0,1300.0,SINGLE_FAMILY
4128194,9716 S Genoa Ave,Chicago,IL,60643,41.717083,-87.65134,165000.0,3.0,4.0,7500.0,SINGLE_FAMILY
3998942,7025 S Parnell Ave,Chicago,IL,60621,41.766357,-87.63802,365000.0,3.0,6.0,3133.0,SINGLE_FAMILY
2054763920,5300 S Shore Dr APT 35,Chicago,IL,60615,41.79929,-87.58291,210000.0,2.0,3.0,1650.0,CONDO
4133781,10017 S Indiana Ave,Chicago,IL,60628,41.712166,-87.61841,315500.0,3.0,5.0,2907.0,SINGLE_FAMILY
4120394,8841 S Justine St,Chicago,IL,60620,41.73279,-87.6614,265000.0,3.0,4.0,3136.0,SINGLE_FAMILY
4174169,12727 S Saginaw Ave,Chicago,IL,60633,41.663807,-87.5577,235000.0,1.0,3.0,1032.0,SINGLE_FAMILY
4008279,7147 S Sangamon St,Chicago,IL,60621,41.76375,-87.64767,27000.0,2.0,3.0,1392.0,SINGLE_FAMILY
2135900733,4640 S Washtenaw Ave,Chicago,IL,60632,41.808887,-87.69213,399900.0,3.0,8.0,,MULTI_FAMILY
4129012,9924 S Peoria St,Chicago,IL,60643,41.713387,-87.645805,220000.0,3.0,4.0,1644.0,SINGLE_FAMILY
119095606,5608 S Bishop St,Chicago,IL,60636,41.791855,-87.66124,249000.0,3.0,4.0,1915.0,SINGLE_FAMILY
3995440,6521 S Damen Ave,Chicago,IL,60636,41.77504,-87.67345,259000.0,2.0,6.0,1600.0,SINGLE_FAMILY
159040229,6626 S Ingleside Ave,Chicago,IL,60637,41.77412,-87.602486,729900.0,4.0,5.0,3290.0,SINGLE_FAMILY
4114760,9132 S Blackstone Ave,Chicago,IL,60619,41.728615,-87.5883,259500.0,2.0,4.0,1029.0,SINGLE_FAMILY
3976142,3639 W 85th Pl,Chicago,IL,60652,41.737473,-87.71356,240000.0,3.0,5.0,1260.0,SINGLE_FAMILY
4123789,9122 S Claremont Ave,Chicago,IL,60643,41.727543,-87.681404,345000.0,2.0,3.0,1360.0,SINGLE_FAMILY
2062963305,8029 S Eberhart Ave,Chicago,IL,60619,41.748466,-87.61208,349000.0,3.0,5.0,,MULTI_FAMILY
2085879907,4850 S Lake Park Ave APT 408-B,Chicago,IL,60615,41.80673,-87.59065,37000.0,1.0,2.0,1200.0,CONDO
4144576,1205 W 107th Pl,Chicago,IL,60643,41.698345,-87.65273,185000.0,2.0,4.0,,MULTI_FAMILY
4026517,7925 S Colfax Ave,Chicago,IL,60617,41.75103,-87.56102,238900.0,2.0,5.0,2348.0,SINGLE_FAMILY
4149065,11731 S Bell Ave,Chicago,IL,60643,41.680286,-87.67684,450000.0,4.0,5.0,2700.0,SINGLE_FAMILY
2143701670,7717 S Jeffery Blvd,Chicago,IL,60649,41.7547,-87.57568,199900.0,2.0,4.0,,MULTI_FAMILY
3949887,6550 S Kilpatrick Ave,Chicago,IL,60629,41.773327,-87.74005,300000.0,2.0,3.0,1216.0,SINGLE_FAMILY
2080229509,1508 E 75th St,Chicago,IL,60619,41.758904,-87.58789,349999.0,3.0,6.0,,MULTI_FAMILY
4133621,24 E 99th Pl,Chicago,IL,60628,41.713806,-87.62273,59000.0,2.0,3.0,900.0,SINGLE_FAMILY
3955955,6448 S Artesian Ave,Chicago,IL,60629,41.77597,-87.68513,399900.0,2.0,7.0,1104.0,SINGLE_FAMILY
