zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
101392932,45 E Division St,Chicago,IL,60610,41.903763,-87.62691,2399000,6,4,4300,SINGLE_FAMILY
3862000,550 N Kingsbury St APT 214,Chicago,IL,60654,41.891964,-87.640724,545500,2,2,0,CONDO
2101156603,235 W Van Buren St UNIT 2719,Chicago,IL,60607,41.8766,-87.634636,325000,2,2,1048,CONDO
3734978,2100 N Racine Ave APT 1C,Chicago,IL,60614,41.920273,-87.658646,525000,2,2,1555,CONDO
444734199,2309 W 50th Pl,Chicago,IL,60609,41.801792,-87.68226,100000,2,3,,MULTI_FAMILY
3981550,4329 S Wood St,Chicago,IL,60609,41.814922,-87.66964,189000,3,5,2500,SINGLE_FAMILY
2116199884,936 W Madison St APT 3E,Chicago,IL,60607,41.881966,-87.65119,670000,2,2,1491,CONDO
4002800,7515 S Chappel Ave,Chicago,IL,60649,41.75837,-87.574554,299000,3,5,2500,SINGLE_FAMILY
54534889,2728 N Racine Ave #3,Chicago,IL,60614,41.93161,-87.65903,899000,3,3,2500,CONDO
3705665,1349 W Sunnyside Ave APT 3,Chicago,IL,60640,41.96325,-87.66415,299900,1,2,0,CONDO
3864044,300 N State St APT 4935,Chicago,IL,60654,41.888065,-87.628494,289000,1,1,725,CONDO
54537238,1060 N Hermitage Ave #1,Chicago,IL,60622,41.901417,-87.67144,525000,3,3,1600,CONDO
87725715,4036 N Kenmore Ave APT 2,Chicago,IL,60613,41.955578,-87.65649,450000,2,2,1200,CONDO
49918188,630 W Wrightwood Ave SIDE 1W,Chicago,IL,60614,41.929714,-87.64417,599000,2,2,1400,CONDO
3652976,4242 N Marmora Ave,Chicago,IL,60634,41.958015,-87.77478,340000,1,2,1232,SINGLE_FAMILY
89923408,2225 W Monroe St #4,Chicago,IL,60612,41.879642,-87.68257,225000,2,2,1600,CONDO
2103549489,1355 N Astor St,Chicago,IL,60610,41.907406,-87.62727,21000000,6,5,25000,SINGLE_FAMILY
3584989,7250 W Rascher Ave,Chicago,IL,60656,41.9786,-87.80909,345000,2,3,2661,TOWNHOUSE
3742069,1850 N Clark St APT 2009,Chicago,IL,60614,41.91634,-87.63512,385000,2,2,1100,CONDO
58365452,936 N Damen Ave APT 1D,Chicago,IL,60622,41.898777,-87.67722,335000,1,2,781,CONDO
3729555,2510 N Wayne Ave APT 104,Chicago,IL,60614,41.927338,-87.66235,320000,1,1,0,CONDO
89968987,1342 N Claremont Ave APT 2R,Chicago,IL,60622,41.906162,-87.68624,274900,1,2,750,CONDO
3728844,2720 N Southport Ave #A,Chicago,IL,60614,41.931366,-87.66453,899000,3,4,2475,TOWNHOUSE
87708389,3232 N Seminary Ave #3,Chicago,IL,60657,41.940887,-87.65691,749900,2,2,0,CONDO
3718830,421 W Melrose St APT 7C,Chicago,IL,60657,41.94096,-87.64047,550000,3,3,2100,CONDO
87698650,873 N Larrabee St APT 703,Chicago,IL,60610,41.898636,-87.64266,350000,2,2,0,CONDO
3984570,824 E 48th St,Chicago,IL,60615,41.80799,-87.6055,299950,4,4,1944,SINGLE_FAMILY
3709370,3949 N Paulina St,Chicago,IL,60613,41.953907,-87.67125,739000,3,3,2000,TOWNHOUSE
445920713,56 W Huron St #PENTHOUSE,Chicago,IL,60654,41.895092,-87.63026,4750000,5,4,4312,CONDO
89909208,4346 N Pulaski Rd APT 304,Chicago,IL,60641,41.960613,-87.72812,275000,2,2,0,CONDO
3637452,5415 W Carmen Ave,Chicago,IL,60630,41.97318,-87.76316,474900,2,3,1443,SINGLE_FAMILY
2069893717,4137 S Prairie Ave #1-S,Chicago,IL,60653,41.819077,-87.61942,164900,2,3,1200,CONDO
89910008,800 W Cornelia Ave APT 301,Chicago,IL,60657,41.94557,-87.64973,545000,2,2,1350,CONDO
3811459,709 S Campbell Ave,Chicago,IL,60612,41.872646,-87.68834,400000,2,3,1300,SINGLE_FAMILY
101303846,3133 N Lakewood Ave APT 4C,Chicago,IL,60657,41.93954,-87.66079,500000,2,2,0,CONDO
3727738,2843 N Lincoln Ave APT 110,Chicago,IL,60657,41.93367,-87.65975,520000,2,2,0,CONDO
2084645571,2140 N Winchester Ave APT 2,Chicago,IL,60614,41.920876,-87.67668,549000,3,2,0,TOWNHOUSE
63697092,1527 N Mohawk St APT 3,Chicago,IL,60610,41.910007,-87.64183,535000,2,2,1450,CONDO
2107085751,1407.5 N Wells St #1-2E,Chicago,IL,60610,41.90797,-87.6342,529900,2,3,0,CONDO
3738491,345 W Fullerton Pkwy APT 2207,Chicago,IL,60614,41.925404,-87.63869,375000,2,2,1100,CONDO
89937008,4724 N Beacon St APT 1E,Chicago,IL,60640,41.96775,-87.66469,305000,1,2,1000,CONDO
362165712,411 W North Ave APT 4W,Chicago,IL,60610,41.91083,-87.63903,665000,2,3,1700,CONDO
101519072,4726 N Dover St #1,Chicago,IL,60640,41.967896,-87.66638,1400000,4,3,3300,SINGLE_FAMILY
60267947,525 W Superior St APT 124,Chicago,IL,60654,41.895363,-87.641846,574900,2,2,1500,CONDO
3667711,3812 N Troy St,Chicago,IL,60618,41.95076,-87.70706,950000,4,4,0,SINGLE_FAMILY
63694816,3839 N Western Ave UNIT 301,Chicago,IL,60618,41.95083,-87.68827,304900,1,2,0,CONDO
3718679,553 W Aldine Ave #2,Chicago,IL,60657,41.94198,-87.64414,469000,2,2,1450,CONDO
3717377,609 W Stratford Pl APT 6A,Chicago,IL,60657,41.944904,-87.64474,500000,2,3,0,CONDO
3721536,435 W Surf St APT 2B,Chicago,IL,60657,41.93405,-87.6408,450000,2,2,1500,CONDO
2073844070,5205 N Rockwell St #1,Chicago,IL,60625,41.976116,-87.69383,255000,1,3,1500,CONDO
58360130,5536 N Glenwood Ave APT 2F,Chicago,IL,60640,41.982807,-87.665344,719900,3,3,0,CONDO
2137017420,1225 S Harding Ave,Chicago,IL,60623,41.8654,-87.72358,400000,4,12,,MULTI_FAMILY
87703855,740 S Federal St APT 310,Chicago,IL,60605,41.873783,-87.629906,299000,2,3,1260,CONDO
65565525,747 N Sedgwick St APT 4RS,Chicago,IL,60654,41.89613,-87.63835,425000,2,2,1500,CONDO
2137607387,2716 N Artesian Ave,Chicago,IL,60647,41.930862,-87.68943,899000,4,4,0,SINGLE_FAMILY
2104820747,3920 N Lake Shore Dr APT 4N,Chicago,IL,60613,41.95414,-87.64598,375000,4,5,3000,CONDO
87702641,2515 W Augusta Blvd APT 3S,Chicago,IL,60622,41.899082,-87.690094,230000,1,2,1000,CONDO
51176415,226 N Clinton St APT 220,Chicago,IL,60661,41.88637,-87.64174,375000,2,2,0,CONDO
113960252,1970 N Burling St,Chicago,IL,60614,41.918053,-87.64765,6995000,7,5,7800,SINGLE_FAMILY
444194829,1544 N State Pkwy #3A,Chicago,IL,60610,41.910946,-87.62926,550000,2,3,1800,CONDO
3855188,1550 N State Pkwy APT A1,Chicago,IL,60610,41.910946,-87.62926,599000,3,3,2305,CONDO
158700306,2717 W Adams St,Chicago,IL,60612,41.878098,-87.69455,550000,3,4,4000,SINGLE_FAMILY
3742283,164 W Eugenie St,Chicago,IL,60614,41.913086,-87.6343,1350000,5,4,3020,SINGLE_FAMILY
306332688,2245 W Irving Park Rd UNIT 2,Chicago,IL,60618,41.953754,-87.68542,595000,2,3,1800,CONDO
446869511,5038 W Fulton St,Chicago,IL,60644,41.886055,-87.75199,185000,2,4,,MULTI_FAMILY
2070843715,3353 S Bell Ave,Chicago,IL,60608,41.832394,-87.68121,230000,2,2,1100,SINGLE_FAMILY
80856668,418 W 37th Pl,Chicago,IL,60609,41.826572,-87.63706,769000,3,4,3000,SINGLE_FAMILY
3743215,205 W Eugenie St UNIT I,Chicago,IL,60614,41.91267,-87.63511,679000,3,3,2350,TOWNHOUSE
3723070,330 W Diversey Pkwy APT 2104,Chicago,IL,60657,41.933327,-87.63862,365000,2,2,1150,CONDO
2067552830,1143 W Addison St #2,Chicago,IL,60613,41.946877,-87.65872,600000,2,2,0,CONDO
3876625,1502 S Prairie Ave UNIT A,Chicago,IL,60605,41.862095,-87.62145,650000,3,3,2100,TOWNHOUSE
441023461,4103 W Palmer St,Chicago,IL,60639,41.920532,-87.72936,465000,3,6,,MULTI_FAMILY
3799754,603 N Cuyler Ave,Oak Park,IL,60302,41.89662,-87.78366,425000,3,4,0,SINGLE_FAMILY
124870771,1350 W Diversey Pkwy #2,Chicago,IL,60614,41.932747,-87.6632,565000,2,2,1400,CONDO
444373209,1853 N Maud Ave #1,Chicago,IL,60614,41.915466,-87.6539,1485000,3,3,0,CONDO
80856237,4962 N Milwaukee Ave APT 4A,Chicago,IL,60630,41.97104,-87.76405,340000,2,2,1400,CONDO
332931010,2738 N Racine Ave APT 1W,Chicago,IL,60614,41.931904,-87.659035,799900,3,3,0,CONDO
3831324,2632 S 58th Ct,Cicero,IL,60804,41.84236,-87.770164,299900,1,3,1280,SINGLE_FAMILY
3638635,5109 N Keating Ave,Chicago,IL,60630,41.97386,-87.74645,624700,2,4,2630,SINGLE_FAMILY
99345255,1910 W Superior St #1,Chicago,IL,60622,41.895283,-87.6751,420000,2,2,1250,CONDO
101507531,2771 W Francis Pl UNIT 303N,Chicago,IL,60647,41.91783,-87.69643,399000,2,2,0,CONDO
2075720468,420 S Clinton St APT 506,Chicago,IL,60607,41.876194,-87.641266,380000,2,2,1255,CONDO
4121492,1511 W 91st St,Chicago,IL,60620,41.72828,-87.66096,315000,2,5,1700,SINGLE_FAMILY
4002800,7515 S Chappel Ave,Chicago,IL,60649,41.75837,-87.574554,299000,3,5,2500,SINGLE_FAMILY
2066839862,8241 S Lasalle St,Chicago,IL,60603,41.744244,-87.62758,279900,4,3,1080,SINGLE_FAMILY
158975649,6333 S Talman Ave,Chicago,IL,60629,41.778152,-87.68936,249000,2,4,1182,SINGLE_FAMILY
4149576,1352 W 112th Pl,Chicago,IL,60643,41.689648,-87.65655,309900,3,4,1550,SINGLE_FAMILY
4005605,7627 S Prairie Ave,Chicago,IL,60619,41.755688,-87.617775,299900,2,4,1036,SINGLE_FAMILY
4003419,7715 S Oglesby Ave,Chicago,IL,60649,41.75481,-87.567154,355000,3,5,2900,SINGLE_FAMILY
4142648,10919 S Eggleston Ave,Chicago,IL,60628,41.69548,-87.63371,269000,2,6,2500,SINGLE_FAMILY
4148189,11200 S Longwood Dr,Chicago,IL,60643,41.68976,-87.67268,520000,4,5,3200,SINGLE_FAMILY
2067333788,6427 S Aberdeen St,Chicago,IL,60621,41.776985,-87.65166,224900,4,10,,MULTI_FAMILY
65576756,8526 S Peoria St,Chicago,IL,60620,41.738846,-87.64648,299900,3,4,2500,SINGLE_FAMILY
2068017012,10239 S Yale Ave,Chicago,IL,60628,41.708355,-87.62936,249999,3,5,4305,SINGLE_FAMILY
4005541,7611 S Michigan Ave,Chicago,IL,60619,41.7561,-87.62102,199000,2,4,1104,SINGLE_FAMILY
4134881,9515 S Greenwood Ave,Chicago,IL,60628,41.721584,-87.59684,292500,3,4,1344,SINGLE_FAMILY
4134716,642 E 102nd St,Chicago,IL,60628,41.7095,-87.60726,229900,2,3,1316,SINGLE_FAMILY
4012474,2055 W 80th St,Chicago,IL,60620,41.748123,-87.6752,274900,2,3,1018,SINGLE_FAMILY
3977059,7933 S Albany Ave,Chicago,IL,60652,41.748745,-87.69956,249900,2,3,1136,SINGLE_FAMILY
2087942646,7827 S Kingston Ave,Chicago,IL,60649,41.752796,-87.56226,379900,2,4,,MULTI_FAMILY
4120700,8924 S Elizabeth St,Chicago,IL,60620,41.731476,-87.65477,275000,2,4,2400,SINGLE_FAMILY
344682794,"The Hampton Plan, Harbor Point Estates",Chicago,IL,60633,41.65222,-87.529015,79999,2,3,1153,MANUFACTURED
2143604822,5701 S Winchester Ave,Chicago,IL,60636,41.790157,-87.67263,350000,2,4,,MULTI_FAMILY
2082867811,7927 S Clyde Ave,Chicago,IL,60617,41.75082,-87.57316,299990,2,4,,MULTI_FAMILY
441117482,11548 S State St,Chicago,IL,60628,41.68387,-87.62322,79900,2,5,1700,SINGLE_FAMILY
4146290,2312 W 107th St,Chicago,IL,60643,41.699368,-87.67957,339000,2,3,1500,SINGLE_FAMILY
4141953,10557 S Perry Ave,Chicago,IL,60628,41.7018,-87.625404,149999,2,5,1600,SINGLE_FAMILY
4083244,10701 S Harding Ave,Chicago,IL,60655,41.69842,-87.719315,259900,3,3,2149,SINGLE_FAMILY
4096444,3553 W 111th St,Chicago,IL,60655,41.691162,-87.710175,290000,2,3,1850,SINGLE_FAMILY
4155887,11930 S Calumet Ave,Chicago,IL,60628,41.6772,-87.615746,179000,2,5,1400,SINGLE_FAMILY
4132875,10222 S Yale Ave,Chicago,IL,60628,41.708145,-87.62988,227500,2,4,1200,SINGLE_FAMILY
2063430831,7949 S Yates Blvd,Chicago,IL,60617,41.750294,-87.56586,299900,6,9,,MULTI_FAMILY
4012949,8108 S Wolcott Ave,Chicago,IL,60620,41.74629,-87.67096,369000,3,5,4500,SINGLE_FAMILY
4096954,3324 W 114th St,Chicago,IL,60655,41.686783,-87.70413,324873,2,3,1494,SINGLE_FAMILY
4096456,11205 S Drake Ave,Chicago,IL,60655,41.689365,-87.70893,275000,2,4,2400,SINGLE_FAMILY
4020542,7913 S Dante Ave,Chicago,IL,60619,41.751022,-87.589134,250000,2,3,1376,SINGLE_FAMILY
4151775,11521 S Aberdeen St,Chicago,IL,60643,41.684307,-87.64907,270000,2,4,2681,SINGLE_FAMILY
